employee_id,age,experience_years,education_level,department,skill_level,technical_skill_score,communication_score,leadership_score,problem_solving_score,task_id,task_complexity,required_skill_level,deadline_days,workload_hours,task_priority,team_size,previous_task_success_rate,attendance_rate,performance_rating,idle_time_hours,conflict_rate,allocation_status
90,29,2,Master,R&D,Low,44,55,69,98,6008,High,Low,21,5,High,6,96,87,Excellent,4,2,Suboptimal
91,33,7,Diploma,Operations,Low,80,43,54,86,1118,Medium,Expert,4,11,High,6,96,84,Poor,2,4,Reassignment Required
92,55,28,Diploma,IT,Expert,59,96,98,95,4113,High,Low,13,8,High,7,94,79,Good,3,1,Suboptimal
93,54,23,Diploma,Operations,Low,44,48,52,88,7153,High,High,18,8,Medium,3,67,89,Excellent,5,4,Optimal
94,44,18,Bachelor,R&D,Low,75,88,94,52,2491,High,High,13,7,High,8,99,85,Average,0,4,Suboptimal
95,45,3,PhD,R&D,Medium,68,60,51,83,3096,Low,Expert,13,9,Critical,9,95,76,Poor,2,2,Reassignment Required
96,58,17,Diploma,HR,Low,87,62,93,74,8944,Medium,Low,7,7,Medium,9,84,98,Poor,4,4,Suboptimal
97,56,19,Bachelor,Operations,Medium,73,91,97,94,3254,Medium,Medium,5,10,Medium,8,77,98,Poor,3,0,Suboptimal
98,43,26,Bachelor,Marketing,Expert,97,99,87,90,9705,High,Expert,29,6,Critical,4,98,86,Poor,1,3,Suboptimal
99,48,10,Bachelor,Operations,Medium,87,92,57,68,7103,Medium,High,3,4,Low,6,69,74,Good,1,1,Suboptimal
100,56,26,Bachelor,Finance,High,57,41,97,95,2233,High,High,6,6,High,6,60,87,Good,5,3,Suboptimal
101,22,13,Diploma,IT,High,41,42,33,44,6258,High,High,8,5,Medium,5,63,83,Excellent,3,2,Suboptimal
102,56,24,Bachelor,Marketing,Expert,55,62,30,42,6631,High,Medium,27,4,Critical,2,85,87,Excellent,5,2,Optimal
103,58,17,Diploma,HR,Low,68,65,55,92,4349,Low,High,26,2,Low,2,70,87,Poor,1,0,Optimal
104,35,27,Diploma,IT,Medium,72,86,62,76,1129,Medium,Expert,26,9,Low,3,74,84,Average,4,2,Optimal
105,24,27,Bachelor,IT,High,55,46,56,95,4716,High,Expert,12,5,Critical,8,91,94,Good,5,2,Reassignment Required
106,22,28,Diploma,Finance,Medium,74,75,71,99,7754,Medium,Expert,2,4,Medium,4,74,80,Poor,0,2,Optimal
107,26,15,PhD,Finance,High,86,83,98,80,4743,Low,High,11,5,Medium,7,87,95,Good,5,3,Reassignment Required
108,47,2,PhD,Finance,Medium,82,72,93,45,2771,Low,Medium,26,2,High,7,82,74,Poor,3,0,Optimal
109,35,14,Master,Marketing,Low,81,88,54,87,5454,High,Medium,28,7,High,6,62,85,Average,0,4,Suboptimal
110,48,26,PhD,Operations,Expert,56,75,33,81,7770,Low,High,20,4,Critical,8,91,77,Poor,0,1,Suboptimal
111,30,26,Diploma,IT,Low,43,43,41,55,8250,Low,Low,3,9,Critical,9,79,82,Poor,3,0,Optimal
112,36,3,Diploma,Operations,Medium,88,93,87,74,6273,Low,Low,23,11,Medium,8,73,95,Poor,2,3,Optimal
113,36,4,PhD,Operations,High,43,62,40,57,9697,Low,Expert,10,6,Medium,9,94,91,Average,4,4,Reassignment Required
114,47,16,Bachelor,Finance,High,90,64,88,50,6628,Low,Medium,8,10,Critical,7,99,96,Excellent,3,4,Reassignment Required
115,34,6,Bachelor,Operations,Expert,64,80,65,90,5913,Low,High,8,10,Critical,4,68,86,Excellent,4,1,Reassignment Required
116,53,15,Diploma,IT,Low,72,65,51,96,5718,Medium,Medium,14,3,Low,3,83,95,Excellent,0,4,Suboptimal
117,53,13,Bachelor,IT,Low,53,67,94,62,3676,Low,Medium,4,6,Low,8,63,78,Poor,0,0,Optimal
118,25,25,Master,R&D,Low,63,67,79,86,1096,Medium,Low,15,8,Low,5,71,84,Excellent,2,4,Reassignment Required
119,51,15,Master,HR,High,50,60,33,50,2963,High,Medium,10,8,Low,3,83,76,Poor,0,3,Optimal
120,58,6,PhD,Marketing,Expert,64,49,81,98,6401,Low,Medium,18,11,Low,2,60,96,Good,3,4,Optimal
121,44,8,PhD,Operations,High,67,66,72,96,8767,Low,High,22,4,Critical,8,73,87,Poor,4,3,Optimal
122,36,3,Bachelor,Marketing,Low,46,90,75,68,1598,Medium,High,15,8,High,5,90,83,Good,2,4,Suboptimal
123,50,29,Diploma,Marketing,Medium,88,90,33,93,4963,Low,Medium,19,8,Critical,6,69,77,Poor,5,1,Suboptimal
124,57,29,PhD,Marketing,High,75,54,42,95,9620,Medium,Medium,24,5,Low,3,92,71,Average,3,0,Reassignment Required
125,34,21,Master,R&D,Expert,49,93,67,81,8293,Medium,High,3,8,Critical,4,95,87,Average,4,3,Optimal
126,53,10,PhD,Marketing,Low,88,56,74,66,2324,Low,Low,2,9,Medium,4,94,73,Excellent,4,4,Reassignment Required
127,28,1,PhD,R&D,Medium,75,78,54,48,9111,High,High,13,4,Critical,2,77,93,Average,1,2,Optimal
128,43,11,Master,IT,High,70,74,96,74,2767,High,High,13,3,Critical,2,84,92,Poor,1,2,Optimal
129,49,11,Diploma,Operations,Medium,58,44,84,94,6164,High,High,25,10,High,7,71,71,Average,3,0,Optimal
130,23,29,PhD,R&D,Medium,57,55,68,48,2339,Medium,High,9,8,Low,2,87,79,Average,2,3,Suboptimal
131,27,3,PhD,HR,Expert,88,62,94,57,7466,Medium,High,25,2,Low,8,68,75,Poor,4,1,Suboptimal
132,49,17,PhD,Marketing,High,45,78,31,83,6463,Low,Low,3,11,Critical,8,83,80,Excellent,4,1,Optimal
133,49,25,Bachelor,HR,Expert,67,87,98,94,6490,Medium,Expert,2,11,Critical,8,79,96,Excellent,3,0,Reassignment Required
134,41,20,PhD,IT,Low,46,48,91,60,5061,High,High,14,10,Low,8,85,89,Excellent,2,1,Reassignment Required
135,51,6,Master,IT,Medium,77,72,75,95,8604,Low,High,16,6,Medium,2,64,79,Good,5,4,Suboptimal
136,32,28,Diploma,Finance,Expert,96,74,60,87,2270,High,Low,14,3,Low,6,86,98,Excellent,0,0,Optimal
137,49,0,Diploma,Marketing,Expert,51,96,64,75,1218,Low,Expert,4,8,Medium,5,87,86,Poor,5,3,Suboptimal
138,46,25,Master,Finance,Low,80,79,74,40,1533,High,Medium,2,10,Critical,7,96,93,Excellent,2,1,Reassignment Required
139,54,25,Bachelor,HR,High,89,89,83,66,8951,Low,Low,16,4,Critical,2,99,77,Poor,0,4,Reassignment Required
140,22,22,Master,Operations,Expert,73,63,98,84,4823,High,High,8,5,Medium,3,66,75,Good,4,1,Suboptimal
141,48,25,Diploma,Finance,Medium,64,63,58,97,1064,Medium,Medium,26,10,Low,6,78,85,Average,1,0,Optimal
142,34,12,Master,IT,Medium,56,89,37,79,5341,High,Low,1,3,Critical,5,81,79,Poor,1,0,Suboptimal
143,24,5,Bachelor,Marketing,Medium,92,63,83,77,6082,Low,Medium,18,5,Low,6,77,99,Good,3,1,Suboptimal
144,27,5,Diploma,HR,Medium,72,58,36,68,3985,High,Low,22,6,Critical,4,74,92,Good,5,0,Suboptimal
145,29,11,Bachelor,R&D,Expert,62,78,52,79,6594,Medium,Low,9,5,High,6,92,97,Average,2,2,Optimal
146,48,7,Master,IT,Medium,48,64,61,58,4913,Low,Medium,26,8,High,7,98,98,Poor,2,0,Optimal
147,30,23,PhD,R&D,Expert,45,91,91,63,9017,Medium,Expert,12,7,High,8,64,88,Excellent,0,3,Reassignment Required
148,58,21,Master,Operations,High,41,70,74,95,5255,High,Medium,5,10,Medium,6,99,94,Good,3,1,Optimal
149,54,18,Bachelor,Marketing,Medium,77,98,97,83,2004,Low,Medium,21,5,Low,4,96,73,Excellent,2,2,Optimal
150,45,4,Master,Operations,High,48,77,59,40,3122,High,Expert,3,10,High,4,64,96,Poor,3,1,Optimal
151,36,17,PhD,Operations,Expert,42,64,68,75,7696,Low,Medium,8,2,Medium,4,96,71,Poor,0,0,Suboptimal
152,53,29,Bachelor,Marketing,Low,55,66,34,62,4981,Medium,Expert,28,7,High,9,66,89,Average,5,2,Reassignment Required
153,53,4,Master,Marketing,High,64,71,96,52,1471,Medium,Expert,22,8,Critical,7,61,71,Excellent,4,1,Reassignment Required
154,45,29,Bachelor,R&D,Medium,63,50,51,69,4405,Medium,Expert,26,10,High,7,89,81,Poor,3,0,Suboptimal
155,33,24,Bachelor,Operations,Low,86,44,57,98,1308,High,High,28,2,Low,6,70,73,Average,1,0,Reassignment Required
156,23,9,Diploma,HR,High,68,83,51,88,8695,Low,Low,16,2,Low,4,96,85,Good,4,1,Suboptimal
157,24,0,Diploma,R&D,Expert,83,72,58,90,8707,Medium,High,18,3,Medium,2,98,71,Excellent,2,1,Suboptimal
158,58,9,Bachelor,Marketing,Expert,94,58,72,90,4047,High,Low,12,7,Low,3,92,85,Average,5,1,Optimal
159,38,4,Master,IT,Expert,79,82,71,93,3017,High,High,12,4,High,8,68,97,Average,0,2,Optimal
160,23,11,Master,R&D,High,65,86,89,76,5881,Low,Expert,21,7,Critical,3,70,84,Good,0,2,Optimal
161,23,21,Master,Finance,Expert,77,96,97,99,2478,Medium,High,4,3,Critical,8,71,83,Average,1,3,Reassignment Required
162,49,29,PhD,HR,High,74,55,88,50,5197,High,Low,27,11,Medium,4,69,80,Average,3,2,Optimal
163,44,26,Bachelor,R&D,Medium,62,74,35,46,8721,Medium,High,10,7,Critical,5,70,84,Good,1,0,Reassignment Required
164,58,6,Bachelor,Marketing,Medium,43,50,57,74,5870,Low,Medium,9,8,Medium,8,92,93,Average,3,2,Optimal
165,53,8,PhD,Marketing,High,98,50,60,50,4459,Medium,Medium,4,7,Medium,6,79,75,Excellent,1,1,Optimal
166,54,21,Bachelor,HR,High,81,49,68,88,6434,Medium,Expert,24,3,Medium,3,64,99,Poor,1,1,Reassignment Required
167,22,20,Bachelor,Finance,Low,53,73,79,82,1571,High,High,1,6,Low,7,83,93,Average,0,2,Reassignment Required
168,40,11,PhD,R&D,Expert,92,91,66,86,4589,High,High,5,11,High,7,91,96,Average,3,0,Optimal
169,23,22,Diploma,R&D,Medium,95,44,44,90,9339,Low,Low,25,7,Low,8,90,85,Poor,1,3,Suboptimal
170,47,28,Bachelor,Operations,Medium,86,62,80,79,6918,Low,Low,3,9,Critical,2,73,70,Average,5,1,Reassignment Required
171,53,0,PhD,IT,Low,78,94,99,87,1596,Low,High,11,10,Low,5,78,94,Good,5,4,Reassignment Required
172,27,10,Master,Marketing,High,46,64,52,60,6073,High,Low,13,6,Medium,5,83,97,Excellent,2,3,Optimal
173,53,29,Diploma,R&D,High,47,68,54,86,2070,Low,Medium,22,8,Low,2,91,80,Good,5,4,Optimal
174,25,20,Master,R&D,Low,81,79,75,42,5250,Low,Medium,11,5,Low,6,71,83,Poor,5,4,Reassignment Required
175,32,14,Bachelor,R&D,Expert,90,52,52,69,5325,High,Expert,26,11,Critical,6,80,71,Good,5,4,Optimal
176,38,1,Diploma,Finance,High,58,86,39,63,4371,Low,Medium,6,6,High,4,95,93,Excellent,0,1,Suboptimal
177,59,19,PhD,IT,High,41,71,61,77,1157,High,Low,27,2,Medium,8,84,85,Average,0,1,Reassignment Required
178,45,6,Bachelor,R&D,Expert,86,73,80,42,4318,Low,Low,22,4,Low,9,73,73,Good,0,4,Suboptimal
179,26,20,PhD,HR,Expert,40,51,70,76,7711,High,Low,4,3,Critical,2,67,83,Average,0,4,Reassignment Required
180,55,11,Diploma,Marketing,Low,81,63,94,72,8221,Medium,Low,7,7,Critical,2,88,85,Average,1,3,Suboptimal
181,27,21,Master,Operations,Low,77,79,94,61,9957,High,High,3,10,Medium,7,84,84,Excellent,5,1,Optimal
182,43,17,Bachelor,HR,Low,93,60,69,70,3612,High,High,22,11,Critical,9,82,71,Excellent,1,4,Optimal
183,32,2,Bachelor,Marketing,High,52,68,47,85,5562,High,High,10,4,High,8,95,82,Average,5,0,Reassignment Required
184,37,6,PhD,Finance,Low,81,90,65,51,1443,Low,High,5,3,Critical,2,71,86,Excellent,0,1,Reassignment Required
185,54,10,Diploma,IT,High,83,96,60,84,6973,High,Medium,19,3,Low,4,71,97,Average,1,1,Suboptimal
186,30,17,PhD,IT,Medium,63,99,83,53,1904,High,Low,18,7,High,3,77,89,Average,1,0,Optimal
187,27,11,Diploma,Marketing,Expert,71,62,92,96,3910,Low,Medium,28,11,High,6,95,79,Good,3,4,Optimal
188,37,5,Bachelor,HR,Expert,69,72,30,51,2801,Medium,Low,17,7,Critical,8,78,84,Average,2,2,Suboptimal
189,50,4,Diploma,Operations,Medium,45,47,81,94,1925,High,High,24,6,Medium,4,94,86,Poor,3,1,Reassignment Required
190,24,25,Bachelor,Finance,Low,77,81,86,66,8851,Low,Medium,1,10,Medium,9,86,77,Excellent,4,4,Suboptimal
191,41,0,Diploma,Marketing,High,72,52,38,52,6930,Medium,Low,5,8,Medium,8,62,71,Poor,3,0,Suboptimal
192,57,11,Master,Finance,High,83,44,85,63,9943,High,High,21,8,Low,8,72,93,Poor,2,0,Suboptimal
193,40,26,Diploma,IT,High,94,93,76,77,3922,Medium,Expert,17,2,Critical,8,97,95,Good,2,1,Suboptimal
194,47,25,Master,R&D,Expert,62,80,32,98,9854,High,Low,25,11,Medium,4,78,70,Poor,3,0,Reassignment Required
195,24,10,Diploma,R&D,Low,49,49,31,92,8555,High,Expert,21,11,Low,7,94,92,Excellent,5,0,Suboptimal
196,40,3,Diploma,Operations,High,96,53,83,86,1919,Medium,Low,9,3,High,4,74,92,Average,3,4,Optimal
197,41,26,PhD,Finance,High,85,63,66,99,6004,Medium,High,11,4,Medium,9,75,74,Excellent,5,0,Reassignment Required
198,53,17,PhD,Marketing,High,54,50,85,93,5219,Medium,Medium,22,6,High,7,94,72,Good,4,2,Suboptimal
199,28,3,Bachelor,Operations,Medium,99,85,60,94,9259,High,Low,7,5,Medium,7,64,91,Good,5,4,Suboptimal
200,54,16,PhD,HR,High,62,42,41,87,5570,High,Expert,7,9,Critical,8,66,80,Average,0,4,Optimal
201,39,1,Diploma,R&D,Medium,95,68,87,48,5453,Low,High,2,5,High,2,80,85,Poor,2,1,Suboptimal
202,22,28,PhD,Marketing,High,75,92,96,47,6575,Low,Low,14,7,Critical,4,60,90,Average,0,4,Optimal
203,32,23,Diploma,Finance,High,96,87,55,76,2953,Low,Expert,16,10,Low,3,84,78,Poor,5,1,Optimal
204,49,21,Master,Operations,High,40,91,41,54,3568,High,Low,5,3,High,8,89,73,Poor,4,0,Suboptimal
205,46,1,Diploma,Marketing,Medium,47,69,45,46,8945,Medium,Expert,18,9,Low,5,78,78,Poor,1,3,Reassignment Required
206,44,11,Bachelor,Operations,High,42,88,82,63,4708,Low,Low,4,6,Medium,9,83,83,Poor,1,2,Reassignment Required
207,52,5,Master,Operations,Low,53,76,78,88,5928,High,Medium,12,11,Medium,9,74,79,Poor,5,2,Suboptimal
208,51,9,Bachelor,Operations,High,56,97,78,55,4399,Medium,Medium,19,7,Medium,4,94,91,Average,0,0,Suboptimal
209,56,24,Bachelor,Finance,Medium,73,46,36,63,7570,Low,Medium,28,4,Low,8,83,85,Good,3,3,Reassignment Required
210,28,22,Bachelor,Marketing,Medium,86,56,44,82,1442,Medium,Medium,13,9,Medium,7,95,78,Good,2,4,Suboptimal
211,37,24,PhD,IT,Low,45,59,65,46,1600,Medium,High,27,3,Critical,3,73,72,Good,0,3,Suboptimal
212,47,20,Bachelor,IT,Expert,44,93,44,82,5582,Low,Medium,6,2,Low,7,81,97,Average,3,4,Optimal
213,23,22,Master,Finance,Low,85,50,91,99,3786,Low,Low,11,2,Low,2,98,99,Excellent,4,4,Reassignment Required
214,22,26,Diploma,Finance,Low,90,83,47,67,3695,High,High,15,9,High,5,67,98,Average,3,4,Optimal
215,33,15,Bachelor,R&D,Medium,80,64,75,41,3052,Medium,Low,21,3,Medium,6,75,70,Good,4,3,Reassignment Required
216,26,13,Master,Operations,High,79,98,90,73,1631,Low,Expert,17,6,High,6,76,97,Excellent,0,0,Optimal
217,58,6,Bachelor,Marketing,High,68,63,72,99,4442,Low,Medium,2,3,Low,9,64,91,Poor,1,4,Reassignment Required
218,53,27,Diploma,Marketing,Expert,74,41,73,77,2754,Medium,Low,13,5,High,2,94,89,Good,5,0,Reassignment Required
219,30,27,Master,HR,Expert,57,66,95,42,8020,Medium,Low,23,10,Critical,8,96,80,Good,2,4,Optimal
